SEQNO,Sex,Age,Education,Income
2021221068,0,9,4,1
2021221069,0,3,4,2
2021221070,1,8,4,6
2021221075,0,9,4,8
2021221076,0,2,4,8
2021221078,0,11,6,8
2021221079,1,12,6,6
2021221082,1,12,6,8
2021221083,0,11,6,7
2021221084,1,1,6,7
2021221086,1,9,5,7
2021221087,1,7,5,4
2021221090,1,1,4,8
2021221092,1,11,6,7
2021221093,0,4,5,7
2021221096,0,8,5,7
2021221098,1,7,6,2
2021221099,0,9,3,2
2021221102,1,9,5,4
2021221105,0,7,6,1
2021221106,0,12,5,5
2021221109,0,13,6,7
2021221111,0,8,3,8
2021221113,0,10,5,5
2021221114,0,9,6,7
2021221115,0,9,6,8
2021221116,0,4,4,7
2021221117,1,9,6,7
2021221118,0,9,5,6
2021221119,0,5,6,8
2021221122,0,10,6,6
2021221123,0,6,6,6
2021221124,1,7,6,2
2021221125,1,8,4,7
2021221129,0,8,6,8
2021221130,0,10,6,7
2021221131,0,10,6,6
2021221132,0,6,6,8
2021221133,1,9,5,5
2021221135,1,9,5,3
2021221136,0,7,6,8
2021221137,1,10,6,6
2021221138,1,12,4,5
2021221139,1,3,4,8
2021221142,0,8,6,8
2021221143,1,8,6,8
2021221144,1,3,5,8
2021221145,1,2,5,6
2021221146,1,8,3,7
2021221147,0,8,6,3
2021221148,0,5,6,8
2021221149,1,9,6,6
2021221152,0,8,5,7
2021221153,1,3,5,6
2021221155,0,10,5,6
2021221156,1,2,6,8
2021221157,1,10,6,7
2021221158,1,8,4,5
2021221159,0,6,6,7
2021221160,0,12,6,3
2021221163,1,10,6,7
2021221164,1,3,4,4
2021221165,0,9,5,7
2021221166,0,6,5,4
2021221167,0,11,6,8
2021221168,1,13,4,2
2021221169,1,13,6,6
2021221170,0,10,5,6
2021221171,0,10,6,7
2021221173,0,3,6,8
2021221174,0,10,6,8
2021221176,1,11,5,7
2021221177,1,11,6,7
2021221178,0,9,6,8
2021221181,1,13,5,3
2021221182,0,1,6,8
2021221183,1,10,6,8
2021221184,0,10,2,6
2021221185,0,3,4,5
2021221187,0,10,6,8
2021221188,0,10,5,7
2021221190,0,6,6,7
2021221191,1,4,6,8
2021221195,0,10,5,8
2021221196,1,9,5,4
2021221197,1,12,3,5
2021221199,1,9,4,5
2021221201,0,12,6,7
2021221202,1,12,4,7
2021221203,0,11,5,2
2021221204,1,8,6,8
2021221206,0,7,5,3
2021221209,0,9,6,5
2021221210,1,12,6,7
2021221211,1,9,5,8
2021221213,1,5,6,8
2021221214,1,11,5,7
2021221217,0,3,6,7
2021221219,0,4,4,3
2021221220,0,13,6,8
2021221221,1,11,5,8
2021221222,0,4,6,8
2021221224,1,11,6,8
2021221225,1,5,6,4
2021221227,0,11,6,7
2021221228,0,12,5,8
2021221229,0,10,6,6
2021221230,0,10,5,5
2021221231,1,7,6,8
2021221232,1,4,5,8
2021221235,1,11,6,7
2021221236,1,13,6,7
2021221237,0,9,5,6
2021221238,1,5,6,7
2021221239,1,5,6,5
2021221241,0,13,5,7
2021221242,0,7,4,3
2021221243,0,3,5,4
2021221245,1,7,2,5
2021221246,0,8,5,1
2021221247,1,8,4,7
2021221248,0,2,2,5
2021221249,1,4,6,7
2021221251,0,7,4,3
2021221252,0,10,6,7
2021221254,0,3,4,6
2021221255,0,3,5,6
2021221256,1,9,5,8
2021221257,1,2,6,7
2021221258,1,1,6,7
2021221259,1,5,2,6
2021221260,1,10,5,8
2021221261,0,7,5,5
2021221263,1,1,5,7
2021221264,0,7,6,8
2021221265,1,9,6,7
2021221266,1,7,5,8
2021221268,1,10,4,6
2021221269,1,11,6,7
2021221271,0,6,6,7
2021221273,1,10,6,8
2021221274,0,6,3,4
2021221276,0,12,5,4
2021221277,0,6,6,7
2021221278,0,11,4,7
2021221279,1,3,5,6
2021221280,0,11,5,6
2021221283,1,8,6,1
2021221284,0,11,5,5
2021221289,1,7,5,7
2021221290,1,8,5,8
2021221291,1,3,5,5
2021221293,1,10,5,5
2021221295,1,10,6,8
2021221296,1,10,6,6
2021221297,0,7,6,6
2021221298,0,8,6,7
2021221300,1,2,6,5
2021221301,0,9,5,6
2021221303,1,2,5,5
2021221304,0,2,6,8
2021221305,0,6,2,5
2021221306,0,11,5,3
2021221307,0,2,6,7
2021221309,0,8,4,6
2021221310,1,1,5,5
